"","Store","StoreType","Assortment","CompetitionDistance","CompetitionOpenSinceMonth","CompetitionOpenSinceYear","Promo2","Promo2SinceWeek","Promo2SinceYear","PromoInterval","State"
"1",1,"c","a",520,3,2009,0,NA,NA,"","BEHBHHNISH"
"2",2,"a","c",640,9,2013,0,NA,NA,"","BEHBHHNISH"
"3",3,"a","c",100,4,2014,1,31,2013,"Jan,Apr,Jul,Oct","NWRP"
"4",4,"a","a",780,9,2005,1,5,2013,"Feb,May,Aug,Nov","BW"
"5",5,"a","a",1700,1,2008,1,14,2011,"Jan,Apr,Jul,Oct","BY"
"6",6,"d","a",2380,3,2013,1,40,2014,"Jan,Apr,Jul,Oct","BY"
"7",7,"a","a",550,7,2011,1,1,2012,"Jan,Apr,Jul,Oct","NWRP"
"8",8,"a","a",1150,9,2007,0,NA,NA,"","BEHBHHNISH"
"9",9,"a","a",330,NA,NA,0,NA,NA,"","NWRP"
"10",10,"d","c",14160,NA,NA,0,NA,NA,"","BBMVTH"
"11",11,"a","a",250,9,2009,0,NA,NA,"","BEHBHHNISH"
"12",12,"c","c",5830,9,2011,1,13,2010,"Jan,Apr,Jul,Oct","ST"
"13",13,"a","c",180,NA,NA,1,35,2010,"Mar,Jun,Sept,Dec","NWRP"
"14",14,"a","a",14570,11,2002,0,NA,NA,"","ST"
"15",15,"d","c",9820,NA,NA,0,NA,NA,"","BY"
"16",16,"a","a",1480,4,2009,0,NA,NA,"","BEHBHHNISH"
"17",17,"a","a",1790,10,2011,0,NA,NA,"","BEHBHHNISH"
"18",18,"d","a",2020,7,2014,0,NA,NA,"","NWRP"
"19",19,"a","c",40860,9,2013,0,NA,NA,"","BEHBHHNISH"
"20",20,"a","a",1830,11,2004,0,NA,NA,"","SN"
"21",21,"d","a",9710,2,2014,0,NA,NA,"","NWRP"
"22",22,"b","a",1260,6,2011,0,NA,NA,"","BEHBHHNISH"
"23",23,"a","a",150,12,2007,1,10,2014,"Mar,Jun,Sept,Dec","NWRP"
"24",24,"d","a",980,7,2014,1,18,2014,"Feb,May,Aug,Nov","NWRP"
"25",25,"a","c",570,9,2012,1,27,2012,"Mar,Jun,Sept,Dec","BEHBHHNISH"
"26",26,"a","a",3130,7,2002,0,NA,NA,"","NWRP"
"27",27,"d","a",7910,NA,NA,0,NA,NA,"","NWRP"
"28",28,"a","a",620,9,2014,0,NA,NA,"","BY"
"29",29,"a","c",170,2,2009,0,NA,NA,"","BEHBHHNISH"
"30",30,"b","b",210,NA,NA,0,NA,NA,"","HE"
"31",31,"a","a",190,11,2012,0,NA,NA,"","NWRP"
"32",32,"d","a",6630,NA,NA,0,NA,NA,"","BEHBHHNISH"
"33",33,"a","a",420,12,2012,0,NA,NA,"","BEHBHHNISH"
"34",34,"a","c",46590,4,2013,0,NA,NA,"","BEHBHHNISH"
"35",35,"a","a",3920,4,2005,1,40,2014,"Jan,Apr,Jul,Oct","BY"
"36",36,"c","c",430,NA,NA,1,50,2010,"Jan,Apr,Jul,Oct","SN"
"37",37,"a","c",210,NA,NA,1,31,2013,"Jan,Apr,Jul,Oct","NWRP"
"38",38,"a","c",1420,NA,NA,1,10,2013,"Mar,Jun,Sept,Dec","BW"
"39",39,"a","a",300,7,2000,1,40,2014,"Jan,Apr,Jul,Oct","BY"
"40",40,"a","a",1200,9,2008,0,NA,NA,"","BEHBHHNISH"
"41",41,"a","c",25430,5,1999,1,37,2009,"Jan,Apr,Jul,Oct","BW"
"42",42,"a","a",420,NA,NA,1,14,2011,"Jan,Apr,Jul,Oct","SN"
"43",43,"a","a",2070,9,2007,0,NA,NA,"","BEHBHHNISH"
"44",44,"a","a",9560,4,2001,0,NA,NA,"","SN"
"45",45,"a","a",2710,7,2001,1,22,2012,"Mar,Jun,Sept,Dec","HE"
"46",46,"a","a",5100,4,2007,1,40,2014,"Jan,Apr,Jul,Oct","BY"
"47",47,"a","c",3430,NA,NA,1,31,2013,"Feb,May,Aug,Nov","NWRP"
