"","Store","StoreType","Assortment","CompetitionDistance","CompetitionOpenSinceMonth","CompetitionOpenSinceYear","Promo2","Promo2SinceWeek","Promo2SinceYear","PromoInterval","StateCode","StateName","AirportCode","CompetitionOpenDate","Promo2StartDate"
"1",1,"c","a",520,3,2009,0,NA,NA,"","BEHBHHNISH","","HAM",2009-03-01,NA
"2",2,"a","c",640,9,2013,0,NA,NA,"","BEHBHHNISH","","HAM",2013-09-01,NA
"3",3,"a","c",100,4,2014,1,31,2013,"Jan,Apr,Jul,Oct","NWRP","","DUS",2014-04-01,2013-08-05
"4",4,"a","a",780,9,2005,1,5,2013,"Feb,May,Aug,Nov","BW","Baden-Wurttemberg","STR",2005-09-01,2013-02-04
"5",5,"a","a",1700,1,2008,1,14,2011,"Jan,Apr,Jul,Oct","BY","Bavaria","MUC",2008-01-01,2011-04-04
"6",6,"d","a",2380,3,2013,1,40,2014,"Jan,Apr,Jul,Oct","BY","Bavaria","MUC",2013-03-01,2014-10-06
"7",7,"a","a",550,7,2011,1,1,2012,"Jan,Apr,Jul,Oct","NWRP","","DUS",2011-07-01,2012-01-02
"8",8,"a","a",1150,9,2007,0,NA,NA,"","BEHBHHNISH","","HAM",2007-09-01,NA
"9",9,"a","a",330,NA,NA,0,NA,NA,"","NWRP","","DUS",NA,NA
"10",10,"d","c",14160,NA,NA,0,NA,NA,"","BBMVTH","","TXL ",NA,NA
"11",11,"a","a",250,9,2009,0,NA,NA,"","BEHBHHNISH","","HAM",2009-09-01,NA
"12",12,"c","c",5830,9,2011,1,13,2010,"Jan,Apr,Jul,Oct","ST","Saxony-Anhalt","LEJ",2011-09-01,2010-03-29
"13",13,"a","c",180,NA,NA,1,35,2010,"Mar,Jun,Sept,Dec","NWRP","","DUS",NA,2010-08-30
"14",14,"a","a",14570,11,2002,0,NA,NA,"","ST","Saxony-Anhalt","LEJ",2002-11-01,NA
"15",15,"d","c",9820,NA,NA,0,NA,NA,"","BY","Bavaria","MUC",NA,NA
"16",16,"a","a",1480,4,2009,0,NA,NA,"","BEHBHHNISH","","HAM",2009-04-01,NA
"17",17,"a","a",1790,10,2011,0,NA,NA,"","BEHBHHNISH","","HAM",2011-10-01,NA
"18",18,"d","a",2020,7,2014,0,NA,NA,"","NWRP","","DUS",2014-07-01,NA
"19",19,"a","c",40860,9,2013,0,NA,NA,"","BEHBHHNISH","","HAM",2013-09-01,NA
"20",20,"a","a",1830,11,2004,0,NA,NA,"","SN","Saxony","DRS",2004-11-01,NA
"21",21,"d","a",9710,2,2014,0,NA,NA,"","NWRP","","DUS",2014-02-01,NA
"22",22,"b","a",1260,6,2011,0,NA,NA,"","BEHBHHNISH","","HAM",2011-06-01,NA
"23",23,"a","a",150,12,2007,1,10,2014,"Mar,Jun,Sept,Dec","NWRP","","DUS",2007-12-01,2014-03-10
"24",24,"d","a",980,7,2014,1,18,2014,"Feb,May,Aug,Nov","NWRP","","DUS",2014-07-01,2014-05-05
"25",25,"a","c",570,9,2012,1,27,2012,"Mar,Jun,Sept,Dec","BEHBHHNISH","","HAM",2012-09-01,2012-07-02
"26",26,"a","a",3130,7,2002,0,NA,NA,"","NWRP","","DUS",2002-07-01,NA
"27",27,"d","a",7910,NA,NA,0,NA,NA,"","NWRP","","DUS",NA,NA
"28",28,"a","a",620,9,2014,0,NA,NA,"","BY","Bavaria","MUC",2014-09-01,NA
"29",29,"a","c",170,2,2009,0,NA,NA,"","BEHBHHNISH","","HAM",2009-02-01,NA
"30",30,"b","b",210,NA,NA,0,NA,NA,"","HE","Hesse","FRA",NA,NA
"31",31,"a","a",190,11,2012,0,NA,NA,"","NWRP","","DUS",2012-11-01,NA
"32",32,"d","a",6630,NA,NA,0,NA,NA,"","BEHBHHNISH","","HAM",NA,NA
"33",33,"a","a",420,12,2012,0,NA,NA,"","BEHBHHNISH","","HAM",2012-12-01,NA
"34",34,"a","c",46590,4,2013,0,NA,NA,"","BEHBHHNISH","","HAM",2013-04-01,NA
"35",35,"a","a",3920,4,2005,1,40,2014,"Jan,Apr,Jul,Oct","BY","Bavaria","MUC",2005-04-01,2014-10-06
"36",36,"c","c",430,NA,NA,1,50,2010,"Jan,Apr,Jul,Oct","SN","Saxony","DRS",NA,2010-12-13
"37",37,"a","c",210,NA,NA,1,31,2013,"Jan,Apr,Jul,Oct","NWRP","","DUS",NA,2013-08-05
"38",38,"a","c",1420,NA,NA,1,10,2013,"Mar,Jun,Sept,Dec","BW","Baden-Wurttemberg","STR",NA,2013-03-11
"39",39,"a","a",300,7,2000,1,40,2014,"Jan,Apr,Jul,Oct","BY","Bavaria","MUC",2000-07-01,2014-10-06
"40",40,"a","a",1200,9,2008,0,NA,NA,"","BEHBHHNISH","","HAM",2008-09-01,NA
"41",41,"a","c",25430,5,1999,1,37,2009,"Jan,Apr,Jul,Oct","BW","Baden-Wurttemberg","STR",1999-05-01,2009-09-14
"42",42,"a","a",420,NA,NA,1,14,2011,"Jan,Apr,Jul,Oct","SN","Saxony","DRS",NA,2011-04-04
"43",43,"a","a",2070,9,2007,0,NA,NA,"","BEHBHHNISH","","HAM",2007-09-01,NA
"44",44,"a","a",9560,4,2001,0,NA,NA,"","SN","Saxony","DRS",2001-04-01,NA
"45",45,"a","a",2710,7,2001,1,22,2012,"Mar,Jun,Sept,Dec","HE","Hesse","FRA",2001-07-01,2012-05-28
"46",46,"a","a",5100,4,2007,1,40,2014,"Jan,Apr,Jul,Oct","BY","Bavaria","MUC",2007-04-01,2014-10-06
"47",47,"a","c",3430,NA,NA,1,31,2013,"Feb,May,Aug,Nov","NWRP","","DUS",NA,2013-08-05
"48",48,"a","c",3450,NA,NA,0,NA,NA,"","BW","Baden-Wurttemberg","STR",NA,NA
"49",49,"a","c",350,12,2007,1,1,2012,"Jan,Apr,Jul,Oct","BW","Baden-Wurttemberg","STR",2007-12-01,2012-01-02
"50",50,"a","c",1410,10,2013,0,NA,NA,"","BEHBHHNISH","","HAM",2013-10-01,NA
"51",51,"a","c",16570,NA,NA,0,NA,NA,"","BY","Bavaria","MUC",NA,NA
"52",52,"d","c",1850,NA,NA,0,NA,NA,"","BEHBHHNISH","","HAM",NA,NA
"53",53,"c","a",230,10,2001,1,14,2011,"Jan,Apr,Jul,Oct","SN","Saxony","DRS",2001-10-01,2011-04-04
"54",54,"b","b",720,3,2002,0,NA,NA,"","NWRP","","DUS",2002-03-01,NA
