Date,Weekday,Holiday name,Holiday type,Where it is observed
2013-01-01,Tuesday,New Year's Day,National holiday,ALL
2013-01-06,Sunday,Epiphany,Common Local holidays,"BW, BY, ST"
2013-03-31,Sunday,Easter Day,Silent Day,BB
2013-04-01,Monday,Easter Monday,National holiday,ALL
2013-05-01,Wednesday,May Day,National holiday,ALL
2013-05-09,Thursday,Ascension Day,National holiday,ALL
2013-05-19,Sunday,Whit Sunday,Silent Day,BB
2013-05-20,Monday,Whit Monday,National holiday,ALL
2013-05-30,Thursday,Corpus Christi,Common Local holidays,"BW, BY, HE, NW, RP, SL"
2013-08-08,Thursday,Peace Festival,Local holiday,BY
2013-08-15,Thursday,Assumption of Mary,Common Local holidays,"BY,SL"
2013-10-03,Thursday,Day of German Unity,National holiday,ALL
2013-10-31,Thursday,Reformation Day,Common Local holidays,"BB, MV, SN, ST, TH"
2013-11-01,Friday,All Saints' Day,Silent Day,"BW, BY, NW, RP, SL"
2013-11-20,Wednesday,Repentance Day,Common Local holidays,SN
2013-12-25,Wednesday,Christmas Day,National holiday,ALL
2013-12-26,Thursday,Boxing Day,National holiday,ALL
2014-01-01,Wednesday,New Year's Day,National holiday,ALL
2014-01-06,Monday,Epiphany,Common Local holidays,"BW, BY, ST"
2014-04-20,Sunday,Easter Day,Silent Day,BB
2014-04-21,Monday,Easter Monday,National holiday,ALL
2014-05-01,Thursday,May Day,National holiday,ALL
2014-05-29,Thursday,Ascension Day,National holiday,ALL
2014-06-08,Sunday,Whit Sunday,Silent Day,BB
2014-06-09,Monday,Whit Monday,National holiday,ALL
2014-06-19,Thursday,Corpus Christi,Common Local holidays,"BW, BY, HE, NW, RP, SL"
2014-08-08,Friday,Peace Festival,Local holiday,BY
2014-08-15,Friday,Assumption of Mary,Common Local holidays,"BY,SL"
2014-10-03,Friday,Day of German Unity,National holiday,ALL
2014-10-31,Friday,Reformation Day,Common Local holidays,"BB, MV, SN, ST, TH"
2014-11-01,Saturday,All Saints' Day,Silent Day,"BW, BY, NW, RP, SL"
2014-11-19,Wednesday,Repentance Day,Common Local holidays,SN
2014-12-25,Thursday,Christmas Day,National holiday,ALL
2014-12-26,Friday,Boxing Day,National holiday,ALL
2015-01-01,Thursday,New Year's Day,National holiday,ALL
2015-01-06,Tuesday,Epiphany,Common Local holidays,"BW, BY, ST"
2015-04-03,Friday,Good Friday,Silent Day,
2015-04-05,Sunday,Easter Day,Silent Day,BB
2015-04-06,Monday,Easter Monday,National holiday,ALL
2015-05-01,Friday,May Day,National holiday,ALL
2015-05-14,Thursday,Ascension Day,National holiday,ALL
2015-05-24,Sunday,Whit Sunday,Silent Day,BB
2015-05-25,Monday,Whit Monday,National holiday,ALL
2015-06-04,Thursday,Corpus Christi,Common Local holidays,"BW, BY, HE, NW, RP, SL, SN,TH"
2015-08-08,Saturday,Peace Festival,Local holiday,BY
2015-08-15,Saturday,Assumption of Mary,Common Local holidays,"BY,SL"
2015-10-03,Saturday,Day of German Unity,National holiday,ALL
2015-10-31,Saturday,Reformation Day,Common Local holidays,"BB, MV, SN, ST, TH"
2015-11-01,Sunday,All Saints' Day,Silent Day,"BW, BY, NW, RP, SL, TH"
2015-11-18,Wednesday,Repentance Day,Common Local holidays,SN
2015-12-25,Friday,Christmas Day,National holiday,ALL
2015-12-26,Saturday,Boxing Day,National holiday,ALL
