Store,State,Name,AirportCode
1,BEHBHHNISH,,HAM
2,BEHBHHNISH,,HAM
3,NWRP,,DUS
4,BW,Baden-Wurttemberg,STR
5,BY,Bavaria,MUC
6,BY,Bavaria,MUC
7,NWRP,,DUS
8,BEHBHHNISH,,HAM
9,NWRP,,DUS
10,BBMVTH,,TXL 
11,BEHBHHNISH,,HAM
12,ST,Saxony-Anhalt,CSO
13,NWRP,,DUS
14,ST,Saxony-Anhalt,CSO
15,BY,Bavaria,MUC
16,BEHBHHNISH,,HAM
17,BEHBHHNISH,,HAM
18,NWRP,,DUS
19,BEHBHHNISH,,HAM
20,SN,Saxony,DRS
21,NWRP,,DUS
22,BEHBHHNISH,,HAM
23,NWRP,,DUS
24,NWRP,,DUS
25,BEHBHHNISH,,HAM
26,NWRP,,DUS
27,NWRP,,DUS
28,BY,Bavaria,MUC
29,BEHBHHNISH,,HAM
30,HE,Hesse,FRA
31,NWRP,,DUS
32,BEHBHHNISH,,HAM
33,BEHBHHNISH,,HAM
34,BEHBHHNISH,,HAM
35,BY,Bavaria,MUC
36,SN,Saxony,DRS
37,NWRP,,DUS
38,BW,Baden-Wurttemberg,STR
39,BY,Bavaria,MUC
40,BEHBHHNISH,,HAM
41,BW,Baden-Wurttemberg,STR
42,SN,Saxony,DRS
43,BEHBHHNISH,,HAM
44,SN,Saxony,DRS
45,HE,Hesse,FRA
46,BY,Bavaria,MUC
47,NWRP,,DUS
48,BW,Baden-Wurttemberg,STR
49,BW,Baden-Wurttemberg,STR
50,BEHBHHNISH,,HAM
51,BY,Bavaria,MUC
52,BEHBHHNISH,,HAM
53,SN,Saxony,DRS
54,NWRP,,DUS
55,BEHBHHNISH,,HAM
56,HE,Hesse,FRA
57,BBMVTH,,TXL 
58,NWRP,,DUS
59,NWRP,,DUS
60,BW,Baden-Wurttemberg,STR
61,BEHBHHNISH,,HAM
62,HE,Hesse,FRA
63,BBMVTH,,TXL 
64,BW,Baden-Wurttemberg,STR
65,BBMVTH,,TXL 
66,NWRP,,DUS
67,HE,Hesse,FRA
68,NWRP,,DUS
69,HE,Hesse,FRA
70,HE,Hesse,FRA
71,BEHBHHNISH,,HAM
72,BY,Bavaria,MUC
73,BW,Baden-Wurttemberg,STR
